id,x,y,Path_ID
A,131,517,1
A,296,347,2
A,174,228,3
A,21,386,4
A,19,408,5
B,300,344,1
B,178,223,2
B,266,131,3
B,391,251,4
C,393,247,1
C,269,127,2
C,356,40,3
C,479,159,4
D,436,210,1
D,483,162,2
D,552,228,3
D,504,276,4
E,351,298,1
E,432,215,2
E,500,280,3
E,420,363,4
F,303,348,1
F,347,303,2
F,416,367,3
F,372,413,4
G,282,505,1
G,214,437,2
G,299,351,3
G,368,417,4
H,134,520,1
H,211,442,2
H,279,509,3
H,212,575,4
H,188,575,5
1,648,508,1
1,657,473,2
1,677,478,3
1,668,513,4
2,657,473,1
2,666,437,2
2,687,442,3
2,677,478,4
3,666,437,1
3,676,399,2
3,697,405,3
3,687,442,4
4,675,399,1
4,684,364,2
4,706,369,3
4,697,405,4
5,697,405,1
5,706,369,2
5,726,374,3
5,716,411,4
6,688,442,1
6,697,405,2
6,716,411,3
6,707,447,4
7,677,477,1
7,687,442,2
7,708,447,3
7,698,484,4
8,668,513,1
8,678,477,2
8,699,484,3
8,690,518,4